"id","name","code","shortName","description","numeratorDescription","numerator","denominatorDescription","denominator"
"IObRTM7ZQsm","IM PMP MIP 25 - Percentage of pregnant women who received an ITN during routine ANC","PMP MIP 25","IM PMP MIP 25 - % of pregnant women received ITN","Percentage of pregnant women who received an ITN during routine ANC","Number of pregnant women who received an insecticide-treated net (ITN) during routine antenatal care (ANC)","#{p4bKkXlEOtC}","Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS)","#{jNJNr4i82le}"
"aYhs8mbDQtF","IM PMP MIP 26 - Percentage of pregnant women who received three or more doses of IPTp","PMP MIP 26","IM PMP MIP 26 - % of pregnant women with IPTp >=3","Percentage of pregnant women who received three or more doses of IPTp","Number of pregnant women who received three or more doses of IPTp (IPT3)","#{IGhCODoV6YY}","Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS)","#{jNJNr4i82le}"
"qe915L0SHAT","IM PMP MIP 27 - Percentage of pregnant women who received two doses of IPTp","PMP MIP 27","IM PMP MIP 27 - % of pregnant women with IPTp = 2","Percentage of pregnant women who received two doses of IPTp","Number of pregnant women who received two doses of IPTp (IPT2)","#{Y73pLgWXfTh}","Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS)","#{jNJNr4i82le}"
"o4A2d8hnJfR","IM PMP MIP 28 - Percentage of pregnant women who received one dose of IPTp","PMP MIP 28","IM PMP MIP 28 - % of pregnant women with IPTp = 1","Percentage of pregnant women who received one dose of IPTp","Number of pregnant women who received one dose of IPTp (IPT1)","#{i5xgliv1YDl}","Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS)","#{jNJNr4i82le}"
"kqNgLnyfdrc","IM PMP MIP 29 - Percentage of targeted health workers demonstrating competence in treatment of MiP","PMP MIP 29","IM PMP MIP 29 - % of HWs competent in MiP (TX)","Percentage of targeted health workers demonstrating competence in treatment of MiP","Number of health workers who score a pass mark on supervisory or quality improvement checklists measuring case management of MiP","#{vKOVZ3Jckex}","Total number of targeted health workers who received a supervisory visit during the reporting period","#{t7LA2WZducS}"
"vq9Boe5COEM","IM PMP MIP 30 - Percentage of targeted health workers demonstrating competence in prevention of MiP","PMP MIP 30","IM PMP MIP 30 - % of HWs competent in MiP (PREV)","Percentage of targeted health workers demonstrating competence in prevention of MiP","Number of health workers who score a pass mark on supervisory or quality improvement checklists measuring IPTp and counselling for MiP","#{aOenVQmDtkc}","Total number of targeted health workers who received a supervisory visit during the reporting period","#{fpDelOtHjG4}"
"y6tiXzGbjqQ","IM PMP MIP 31 - Percentage of health workers trained in IPTp","PMP MIP 31","IM PMP MIP 31 - % of HWs trained on IPTp","Percentage of health workers trained in IPTp","Number of health workers who complete the training course on IPTp","#{yQ11Q5pQ2lx}","Total number of targeted health workers","#{yoNR9Ct37gT}"
"weUF3Cj18yl","IM PMP MIP 32 - Percentage of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards","PMP MIP 32","IM PMP MIP 32 - % of countries with MiP guides","Percentage of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards","Number of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards","#{C0UniRKgGAG}","Total number of targeted countries","1"
"YzVdjAu4KMa","IM PMP MIP 33 - Functional active RMNCH/MiP/ANC/community health Working Group","PMP MIP 33","IM PMP MIP 33 - Active HWGs","Functional active RMNCH/MiP/ANC/community health Working Group","Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically","#{wHtxPnCGqBV}","Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically","1"
"cplumqVIg0j","IM PMP SMC 34 - Percentage of targeted children who receive all 4 doses of SMC in a round in intervention area (or all 3 per national guidance where only 3 doses are indicated)","PMP SMC 34","IM PMP SMC 34 - % of children received 4 doses","Percentage of targeted children who receive all 4 doses of SMC in a round in intervention area (or all 3 per national guidance where only 3 doses are indicated)","Number of targeted children receiving all recommended SMC doses during a campaign, in the intervention area","#{ioU1w8yCIWv}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"hNgqyLCQco7","IM PMP SMC 35 - Percentage of targeted children who receive a dose of SMC in intervention area","PMP SMC 35","IM PMP SMC 35 - % of children dosed","Percentage of targeted children who receive a dose of SMC in intervention area","Number of targeted children receiving a dose of SMC in the intervention area","#{cOBjDRbvsyW}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"zHn4rCJ9iNf","IM PMP SMC 36 - Percentage of targeted children who receive a dose of SMC in the first cycle","PMP SMC 36","IM PMP SMC 36 - % of children dosed (cy. 1)","Percentage of targeted children who receive a dose of SMC in the first cycle","Number of targeted children who received a dose of SMC during the first cycle","#{HaSIpoMB2ub}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"ZHCsyaoMf3b","IM PMP SMC 37 - Percentage of targeted children who receive a dose of SMC in the second cycle","PMP SMC 37","IM PMP SMC 37 - % of children dosed (cy. 2)","Percentage of targeted children who receive a dose of SMC in the second cycle","Number of targeted children who received a dose of SMC during the second cycle","#{wot02J4aRZm}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"d7nCmpguqR9","IM PMP SMC 38 - Percentage of targeted children who receive a dose of SMC in the third cycle","PMP SMC 38","IM PMP SMC 38 - % of children dosed (cy. 3)","Percentage of targeted children who receive a dose of SMC in the third cycle","Number of targeted children who received a dose of SMC during the third cycle","#{ZCibgANrNQq}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"ba9cFuntL41","IM PMP SMC 39 - Percentage of targeted children who receive a dose of SMC in the fourth cycle","PMP SMC 39","IM PMP SMC 39 - % of children dosed (cy. 4)","Percentage of targeted children who receive a dose of SMC in the fourth cycle","Number of targeted children who received a dose of SMC during the fourth cycle","#{Q71hAveCSGo}","Number of children in target age range in the intervention area","#{jAD6Dh7z1d1}"
"k46LJocgtyS","IM PMP SMC 40 - Percentage of health workers trained to deliver SMC according to national guidelines","PMP SMC 40","IM PMP SMC 40 - % of HWs trained on SMC","Percentage of health workers trained to deliver SMC according to national guidelines","Number of health workers who complete the training course on delivering SMC","#{y6qGAzE5DRa}","Total number of targeted health workers","#{nE14FEYzkVX}"
"HsipR5LvDuQ","IM PMP SMC 41 - Percentage of targeted countries with annual SMC implementation plans","PMP SMC 41","IM PMP SMC 41 - % of countries with ANN SMC plans","Percentage of targeted countries with annual SMC implementation plans","Number of countries with annual operational SMC implementation plans","#{hBYYaPLEFFf}","Total number of targeted countries anticipated to have plans","#{gN3w6Jx7q5h}"
"N6FZIcBzoAK","IM PMP OR 42 - Contribution to national, regional or global guidance/policy documents related to malaria (including RH)","PMP OR 42","IM PMP OR 42 - Contribution","Contribution to national, regional or global guidance/policy documents related to malaria (including RH)","Contribution to national, regional guidance/policy documents or related to malaria (including RH)","#{tJXmW64MUxf}","Contribution to national, regional guidance/policy documents or related to malaria (including RH)","1"
"RpH8SivhZwQ","IM PMP OR 43 - Number of program activity outputs disseminated to the global health community","PMP OR 43","IM PMP OR 43 - Outputs to GH community","Number of program activity outputs disseminated to the global health community","By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel","#{P4YDP2FNh3X}","By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel","1"
"mrwqDivT0xN","IM PMP OR 44 - Participation in targeted national, regional or global level Working group(s) and/or taskforce(s)","PMP OR 44","IM PMP OR 44 - Participation in TWGs.","Participation in targeted national, regional or global level Working group(s) and/or taskforce(s)","Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)","#{XxfoDreiw9Z}","Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)","1"
