Performance Indicator,Code,Data Set,Disaggregation,PMP Numerator,DE Name (edited),DE uid,DE CatOptionCombo,DE CatOptionCombo (original),Direct Data entry,PMP Denominator,DE Name (edited),DE uid,DE CatOptionCombo,DE CatOptionCombo (original),id,name,code,shortName,numeratorDescription,numerator,denominatorDescription,denominator
Percentage of health workers demonstrating adherence to negative test results according to global standards,PMP TX 18,IM Supportive Supervision,CORE - Type of health worker | Sex,Number of health workers demonstrating adherence to negative test results according to global standards measured through direct observation through supervision visits,IM SS - TX Health workers who correctly adhere to negative test results according to guidelines,jhcbf1Yfhr5,IM Tx 9,CORE - Type of health worker | Sex,NA,Health workers assessed on management of negative malaria cases,IM SS - Tx Health workers assessed on management of negative malaria cases,vskYxCrS9Hk,IM Tx 9,CORE - Type of health worker | Sex,peCf3o0zdUm,IM PMP TX 18 - Percentage of health workers demonstrating adherence to negative test results according to global standards,PMP TX 18,IM PMP TX 18 - To review,Number of health workers demonstrating adherence to negative test results according to global standards measured through direct observation through supervision visits,#{jhcbf1Yfhr5},Health workers assessed on management of negative malaria cases,#{vskYxCrS9Hk}
"Percentage of health workers demonstrating competence in correctly classifying cases as not malaria, uncomplicated malaria, and severe malaria",PMP DX 3,Supportive Supervision,Type of health worker - Sex,Number of health workers who demonstrate correct procedures for correctly classifying cases according to global standards,IM SS - DX Health workers demonstrating correct procedures for classifying cases according to global standards,Grnm6jdzAJI,Type of health worker - Sex,Type of health worker - Sex,NA,Total number of health workers targeted during the reporting period,IM SS - DX Health workers assessed on malaria case mngt,SZKdCBFJd96,Type of health worker - Sex,Type of health worker - Sex,AwWfGDKfnvZ,"IM PMP DX 3 - Percentage of health workers demonstrating competence in correctly classifying cases as not malaria, uncomplicated malaria, and severe malaria",PMP DX 3,IM PMP DX 3 - % of HWs able to classify cases,Number of health workers who demonstrate correct procedures for correctly classifying cases according to global standards,#{Grnm6jdzAJI},Total number of health workers targeted during the reporting period,#{SZKdCBFJd96}
Percentage of health workers demonstrating competence in malaria microscopy,PMP DX 5,IM Training,CORE - Type of health worker | Sex,Number of health workers who score 90% or greater in slide preparation and parasite detection during the training post-test,IM TR - Dx Health workers who scores 90% or greater in slide preparation and parasite detection during the training post-test,mYlff5bXuZB,CORE - Type of health worker | Sex,CORE - Type of health worker | Sex,NA,Total number of health workers who completed a post-test during a training,IM TR - Dx Health workers who complete the training course in malaria lab Dx (microscopy),f959MLmYSiX,CORE - Type of health worker | Sex,CORE - Type of health worker | Sex,IjA0iq5pBHo,IM PMP DX 5 - Percentage of health workers demonstrating competence in malaria microscopy,PMP DX 5,IM PMP DX 5 - % of HWs competent in microscopy,Number of health workers who score 90% or greater in slide preparation and parasite detection during the training post-test,#{mYlff5bXuZB},Total number of health workers who completed a post-test during a training,#{f959MLmYSiX}
Percentage of health workers demonstrating competence in malaria RDTs,PMP DX 4,IM Training,CORE - Type of health worker | Sex,Number of health workers who score 90% or greater in preparation and reading of RDTs during the training post-test,IM TR - DX Health workers who scored 90% or greater in preparation and reading of RDTs during the training post-test,Mfkn1qCEQEL,CORE - Type of health worker | Sex,CORE - Type of health worker | Sex,NA,Total number of health workers who completed a post-test during a training,IM TR - DX Health workers who complete the training course in malaria lab Dx (RDT),bWQoETmKYEh,CORE - Type of health worker | Sex,CORE - Type of health worker | Sex,CQnAGOKwLpt,IM PMP DX 4 - Percentage of health workers demonstrating competence in malaria RDTs,PMP DX 4,IM PMP DX 4 - % of HWs competent in RDTs,Number of health workers who score 90% or greater in preparation and reading of RDTs during the training post-test,#{Mfkn1qCEQEL},Total number of health workers who completed a post-test during a training,#{bWQoETmKYEh}
Percentage of health workers trained in IPTp,PMP MIP 31,IM Training,CORE - Type of health worker | Sex,Number of health workers who complete the training course on IPTp,IM TR - MIP Health workers who complete the training course in IPTp,yQ11Q5pQ2lx,IM MIP 10,CORE - Type of health worker | Sex,NA,Total number of targeted health workers,IM TR - MIP Health workers targeted for training in IPTp,yoNR9Ct37gT,IM MIP 10,CORE - Type of health worker | Sex,y6tiXzGbjqQ,IM PMP MIP 31 - Percentage of health workers trained in IPTp,PMP MIP 31,IM PMP MIP 31 - % of HWs trained on IPTp,Number of health workers who complete the training course on IPTp,#{yQ11Q5pQ2lx},Total number of targeted health workers,#{yoNR9Ct37gT}
Percentage of health workers trained in management of severe malaria,PMP TX 22,IM Training,CORE - Type of health worker | Sex,Number of health workers who complete the training course on severe malaria case management,IM TR - Tx Health workers who complete the training course in severe malaria case management,Ly61ha78oUu,IM Tx 17,CORE - Type of health worker | Sex,NA,Total number of health workers targeted,IM TR - Tx Health workers targeted for training in severe malaria case management,DoyuoVEARPV,IM Tx 17,CORE - Type of health worker | Sex,nxcquEjgl4Y,IM PMP TX 22 - Percentage of health workers trained in management of severe malaria,PMP TX 22,IM PMP TX 22 - % of HWs trained on severe malaria,Number of health workers who complete the training course on severe malaria case management,#{Ly61ha78oUu},Total number of health workers targeted,#{DoyuoVEARPV}
Percentage of health workers trained to deliver SMC according to national guidelines,PMP SMC 40,IM Seasonal Malaria Chemoprevention,CORE - Type of health worker | Sex,Number of health workers who complete the training course on delivering SMC,IM SMC - Health workers who completed the training course on delivering SMC,y6qGAzE5DRa,IM SMC 8,CORE - Type of health worker | Sex,NA,Total number of targeted health workers,IM SMC - Health workers targeted for training course on delivering SMC,nE14FEYzkVX,IM SMC 8,CORE - Type of health worker | Sex,k46LJocgtyS,IM PMP SMC 40 - Percentage of health workers trained to deliver SMC according to national guidelines,PMP SMC 40,IM PMP SMC 40 - % of HWs trained on SMC,Number of health workers who complete the training course on delivering SMC,#{y6qGAzE5DRa},Total number of targeted health workers,#{nE14FEYzkVX}
Percentage of patients with suspected malaria who received a parasitological test,PMP DX 2,Case Reporting,None,Number of suspected malaria cases who received a parasitological test,IM CR - Dx Suspected malaria cases who received a parasitological test,N6j1f9LZiLf,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,NA,Total number of suspected cases of malaria,IM CR - Dx Suspected malaria cases,eHWYhy8vO8q,Sex - Age group,Sex - Age group,uoxQrM9gmMV,IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test,PMP DX 2,IM PMP DX 2 - % of Suspected cases tested,Number of suspected malaria cases who received a parasitological test,#{N6j1f9LZiLf},Total number of suspected cases of malaria,#{eHWYhy8vO8q}
Percentage of patients with suspected malaria who received a parasitological test (NP),PMP DX 2,Case Reporting,None,Number of suspected malaria cases who received a parasitological test,IM CR - DX Suspected malaria cases who received a parasitological test (non-pregnant),uZWRcBbXVO5,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,NA,Total number of suspected cases of malaria,IM CR - DX Suspected malaria cases (non-pregnant),DGZDsRtmqL7,Sex - Age group,Sex - Age group,L94ARMuvOKD,IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test (NP),PMP DX 2 NP,IM PMP DX 2 - % of suspected cases tested (NP),Number of suspected malaria cases who received a parasitological test,#{uZWRcBbXVO5},Total number of suspected cases of malaria,#{DGZDsRtmqL7}
Percentage of patients with suspected malaria who received a parasitological test (P),PMP DX 2,Case Reporting,None,Number of suspected malaria cases who received a parasitological test,IM CR - DX Suspected malaria cases who received a parasitological test (pregnant women),hoGKdACnBUs,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,NA,Total number of suspected cases of malaria,IM CR - DX Suspected malaria cases (pregnant women),erW9vdRJVSE,Sex - Age group,Sex - Age group,j8sLx5I3wAj,IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test (P),PMP DX 2 P,IM PMP DX 2 - % of suspected cases tested (P),Number of suspected malaria cases who received a parasitological test,#{hoGKdACnBUs},Total number of suspected cases of malaria,#{erW9vdRJVSE}
Percentage of pregnant women who received an ITN during routine ANC,PMP MIP 25,IM Case Reporting,None,Number of pregnant women who received an insecticide-treated net (ITN) during routine antenatal care (ANC),IM CR - MIP Pregnant women who received an ITN during routine ANC,p4bKkXlEOtC,IM MIP 2,default,NA,Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),IM CR - MIP Pregnant women attending routine ANC,jNJNr4i82le,IM MIP 2,default,IObRTM7ZQsm,IM PMP MIP 25 - Percentage of pregnant women who received an ITN during routine ANC,PMP MIP 25,IM PMP MIP 25 - % of pregnant women received ITN,Number of pregnant women who received an insecticide-treated net (ITN) during routine antenatal care (ANC),#{p4bKkXlEOtC},Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),#{jNJNr4i82le}
Percentage of pregnant women who received one dose of IPTp,PMP MIP 28,IM Case Reporting,None,Number of pregnant women who received one dose of IPTp (IPT1),IM CR - MIP Pregnant women who received one dose of IPTp (IPT1),i5xgliv1YDl,IM MIP 3,default,NA,Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),IM CR - MIP Pregnant women attending routine ANC,jNJNr4i82le,IM MIP 3,default,o4A2d8hnJfR,IM PMP MIP 28 - Percentage of pregnant women who received one dose of IPTp,PMP MIP 28,IM PMP MIP 28 - % of pregnant women with IPTp = 1,Number of pregnant women who received one dose of IPTp (IPT1),#{i5xgliv1YDl},Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),#{jNJNr4i82le}
Percentage of pregnant women who received three or more doses of IPTp,PMP MIP 26,IM Case Reporting,None,Number of pregnant women who received three or more doses of IPTp (IPT3),IM CR - MIP Pregnant women who received three or more doses of IPTp (IPT3),IGhCODoV6YY,IM MIP 5,default,NA,Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),IM CR - MIP Pregnant women attending routine ANC,jNJNr4i82le,IM MIP 5,default,aYhs8mbDQtF,IM PMP MIP 26 - Percentage of pregnant women who received three or more doses of IPTp,PMP MIP 26,IM PMP MIP 26 - % of pregnant women with IPTp >=3,Number of pregnant women who received three or more doses of IPTp (IPT3),#{IGhCODoV6YY},Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),#{jNJNr4i82le}
Percentage of pregnant women who received two doses of IPTp,PMP MIP 27,IM Case Reporting,None,Number of pregnant women who received two doses of IPTp (IPT2),IM CR - MIP Pregnant women who received two doses of IPTp (IPT2),Y73pLgWXfTh,IM MIP 4,default,NA,Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),IM CR - MIP Pregnant women attending routine ANC,jNJNr4i82le,IM MIP 4,default,qe915L0SHAT,IM PMP MIP 27 - Percentage of pregnant women who received two doses of IPTp,PMP MIP 27,IM PMP MIP 27 - % of pregnant women with IPTp = 2,Number of pregnant women who received two doses of IPTp (IPT2),#{Y73pLgWXfTh},Total number of pregnant women attending antenatal visits (Number of first ANC visits as proxy in most countries' RHIS),#{jNJNr4i82le}
Percentage of targeted children who receive a dose of SMC in intervention area,PMP SMC 35,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),Number of targeted children receiving a dose of SMC in the intervention area,IM SMC - Children who received SMC in any wave,cOBjDRbvsyW,IM SMC 3,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 3,CORE - Sex | Age-group (CU5),hNgqyLCQco7,IM PMP SMC 35 - Percentage of targeted children who receive a dose of SMC in intervention area,PMP SMC 35,IM PMP SMC 35 - % of children dosed,Number of targeted children receiving a dose of SMC in the intervention area,#{cOBjDRbvsyW},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted children who receive a dose of SMC in the first cycle,PMP SMC 36,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),Number of targeted children who received a dose of SMC during the first cycle,IM SMC - Children who received SMC - 1st wave,HaSIpoMB2ub,IM SMC 4,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 4,CORE - Sex | Age-group (CU5),zHn4rCJ9iNf,IM PMP SMC 36 - Percentage of targeted children who receive a dose of SMC in the first cycle,PMP SMC 36,IM PMP SMC 36 - % of children dosed (cy. 1),Number of targeted children who received a dose of SMC during the first cycle,#{HaSIpoMB2ub},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted children who receive a dose of SMC in the fourth cycle,PMP SMC 39,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),Number of targeted children who received a dose of SMC during the fourth cycle,IM SMC - Children who received SMC - 4th wave,Q71hAveCSGo,IM SMC 7,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 7,CORE - Sex | Age-group (CU5),ba9cFuntL41,IM PMP SMC 39 - Percentage of targeted children who receive a dose of SMC in the fourth cycle,PMP SMC 39,IM PMP SMC 39 - % of children dosed (cy. 4),Number of targeted children who received a dose of SMC during the fourth cycle,#{Q71hAveCSGo},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted children who receive a dose of SMC in the second cycle,PMP SMC 37,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),Number of targeted children who received a dose of SMC during the second cycle,IM SMC - Children who received SMC - 2nd wave,wot02J4aRZm,IM SMC 5,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 5,CORE - Sex | Age-group (CU5),ZHCsyaoMf3b,IM PMP SMC 37 - Percentage of targeted children who receive a dose of SMC in the second cycle,PMP SMC 37,IM PMP SMC 37 - % of children dosed (cy. 2),Number of targeted children who received a dose of SMC during the second cycle,#{wot02J4aRZm},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted children who receive a dose of SMC in the third cycle,PMP SMC 38,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),Number of targeted children who received a dose of SMC during the third cycle,IM SMC - Children who received SMC - 3rd wave,ZCibgANrNQq,IM SMC 6,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 6,CORE - Sex | Age-group (CU5),d7nCmpguqR9,IM PMP SMC 38 - Percentage of targeted children who receive a dose of SMC in the third cycle,PMP SMC 38,IM PMP SMC 38 - % of children dosed (cy. 3),Number of targeted children who received a dose of SMC during the third cycle,#{ZCibgANrNQq},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted children who receive all 4 doses of SMC in a round in intervention area (or all 3 per national guidance where only 3 doses are indicated),PMP SMC 34,IM Seasonal Malaria Chemoprevention,CORE - Sex | Age-group (CU5),"Number of targeted children receiving all recommended SMC doses during a campaign, in the intervention area",IM SMC - Children who received SMC in all waves,ioU1w8yCIWv,IM SMC 2,CORE - Sex | Age-group (CU5),NA,Number of children in target age range in the intervention area,IM SMC - Children in target age range,jAD6Dh7z1d1,IM SMC 2,CORE - Sex | Age-group (CU5),cplumqVIg0j,IM PMP SMC 34 - Percentage of targeted children who receive all 4 doses of SMC in a round in intervention area (or all 3 per national guidance where only 3 doses are indicated),PMP SMC 34,IM PMP SMC 34 - % of children received 4 doses,"Number of targeted children receiving all recommended SMC doses during a campaign, in the intervention area",#{ioU1w8yCIWv},Number of children in target age range in the intervention area,#{jAD6Dh7z1d1}
Percentage of targeted countries with annual SMC implementation plans,PMP SMC 41,IM Technical Leadership,None,Number of countries with annual operational SMC implementation plans,IM TL - Does country have annual operational SMC implementation plans?,hBYYaPLEFFf,IM TL 7,default,NA,Total number of targeted countries anticipated to have plans,IM TL - Is country anticipated to have annual SMC implementation plans?,gN3w6Jx7q5h,IM TL 7,default,HsipR5LvDuQ,IM PMP SMC 41 - Percentage of targeted countries with annual SMC implementation plans,PMP SMC 41,IM PMP SMC 41 - % of countries with ANN SMC plans,Number of countries with annual operational SMC implementation plans,#{hBYYaPLEFFf},Total number of targeted countries anticipated to have plans,#{gN3w6Jx7q5h}
Percentage of targeted countries with national guidelines for malaria diagnosis that meet global standards,PMP DX 11,IM Technical Leadership,None,Number of targeted countries with national guidelines for malaria diagnosis that meet global standards/,IM TL - Has national guidelines for malaria diagnosis that meet global standards?,MUKvaz7q2CD,NA,default,NA,Total number of targeted countries,NA,NA,NA,NA,RBMOiU9Itwb,IM PMP DX 11 - Percentage of targeted countries with national guidelines for malaria diagnosis that meet global standards,PMP DX 11,IM PMP DX 11 - % of countries with DX guidelines,Number of targeted countries with national guidelines for malaria diagnosis that meet global standards/,#{MUKvaz7q2CD},Total number of targeted countries,1
Percentage of targeted countries with national guidelines for malaria treatment that meet global standards,PMP TX 24,IM Technical Leadership,None,Number of targeted countries with national guidelines for malaria treatment that meet global standards,Im TL - Has national guidelines for malaria treatment that meet global standards?,YVLRuSGpePK,IM TL 3,default,NA,Total number of targeted countries,NA,NA,IM TL 3,NA,QWPGgOw6BFU,IM PMP TX 24 - Percentage of targeted countries with national guidelines for malaria treatment that meet global standards,PMP TX 24,IM PMP TX 24 - % of countries with TX guidelines,Number of targeted countries with national guidelines for malaria treatment that meet global standards,#{YVLRuSGpePK},Total number of targeted countries,1
Percentage of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards,PMP MIP 32,IM Technical Leadership,None,Number of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards,IM TL - Has national guidelines for prevention and treatment of MiP that meet global standards?,C0UniRKgGAG,IM TL 4,default,NA,Total number of targeted countries,NA,NA,IM TL 4,NA,weUF3Cj18yl,IM PMP MIP 32 - Percentage of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards,PMP MIP 32,IM PMP MIP 32 - % of countries with MiP guides,Number of targeted countries with national guidelines for prevention and treatment of MiP that meet global standards,#{C0UniRKgGAG},Total number of targeted countries,1
Percentage of targeted countries with national malaria diagnostic supervision tools that adhere to global standards,PMP DX 10,IM Technical Leadership,None,Number of targeted countries whose national malaria diagnostic supervision tools adhere to global standards,IM TL - Has national malaria diagnostic supervision tools that adhere to global standards?,y2aPasQa1gl,NA,default,NA,Total number of targeted countries,NA,NA,NA,NA,VDwMGm8H46T,IM PMP DX 10 - Percentage of targeted countries with national malaria diagnostic supervision tools that adhere to global standards,PMP DX 10,IM PMP DX 10 - % of countries with DX tools,Number of targeted countries whose national malaria diagnostic supervision tools adhere to global standards,#{y2aPasQa1gl},Total number of targeted countries,1
